x, n0
2132, 89
2133, 90
2134, 91
2135, 88
2136, 89
2137, 90
2138, 91
2139, 92
2140, 89
2141, 90
2142, 91
2143, 92
2144, 93
2145, 89
2146, 90
2147, 91
2148, 92
2149, 93
2150, 89
2151, 90
2152, 91
2153, 92
2154, 93
2155, 89
2156, 90
2157, 91
2158, 92
2159, 93
2160, 90
2161, 91
2162, 92
2163, 93
2164, 94
2165, 95
2166, 96
2167, 97
2168, 98
2169, 99
2170, 100
2171, 101
2172, 102
2173, 103
2174, 104
2175, 130
2176, 131
2177, 132
2178, 133
2179, 134
2180, 135
2181, 136
2182, 137
2183, 138
2184, 140
2185, 141
2186, 142
2187, 143
2188, 143
2189, 145
2190, 145
2191, 146
2192, 147
2193, 148
2194, 150
2195, 150
2196, 151
2197, 152
2198, 153
2199, 155
2200, 180
2201, 181
2202, 182
2203, 183
2204, 185
2205, 185
2206, 186
2207, 187
2208, 189
2209, 191
2210, 191
2211, 191
2212, 192
2213, 194
2214, 196
2215, 195
2216, 196
2217, 197
2218, 199
2219, -1
2220, 200
2221, -1
2222, -1
2223, -1
2224, -1
2225, -1
2226, -1
2227, -1
2228, -1
2229, -1
2230, -1
2231, -1
2232, -1
2233, -1
2234, -1
2235, -1
2236, -1
2237, -1
2238, -1
2239, -1
2240, -1
2241, -1
2242, -1
2243, -1
2244, -1
2245, -1
2246, -1
2247, -1
2248, -1
2249, -1
2250, 93
2251, 93
2252, 94
2253, 95
2254, 96
2255, 93
2256, 94
2257, 95
2258, 96
2259, 97
2260, 94
2261, 95
2262, 96
2263, 97
2264, 98
2265, 94
2266, 95
2267, 96
2268, 97
2269, 98
2270, 94
2271, 95
2272, 96
2273, 97
2274, 98
2275, 94
2276, 95
2277, 96
2278, 97
2279, 98
2280, 95
2281, 96
2282, 97
2283, 98
2284, 99
2285, 100
2286, 101
2287, 102
2288, 103
2289, 104
2290, 105
2291, 106
2292, 107
2293, 108
2294, 109
2295, 110
2296, 111
2297, 112
2298, 113
2299, 114
2300, 140
2301, 141
2302, 142
2303, 143
2304, 145
2305, 146
2306, 147
2307, 148
2308, 148
2309, 150
2310, 150
2311, 151
2312, 152
2313, 153
2314, 155
2315, 155
2316, 156
2317, 157
2318, 158
2319, 160
2320, 160
2321, 161
2322, 162
2323, 163
2324, 165
2325, 190
2326, 191
2327, 192
2328, 194
2329, 196
2330, 196
2331, 196
2332, 197
2333, 199
2334, -1
2335, 200
2336, -1
2337, -1
2338, -1
2339, -1
2340, -1
2341, -1
2342, -1
2343, -1
2344, -1
2345, -1
2346, -1
2347, -1
2348, -1
2349, -1
2350, -1
2351, -1
2352, -1
2353, -1
2354, -1
2355, -1
2356, -1
2357, -1
2358, -1
2359, -1
2360, -1
2361, -1
2362, -1
2363, -1
2364, -1
2365, -1
2366, -1
2367, -1
2368, -1
2369, -1
2370, -1
2371, -1
2372, -1
2373, -1
2374, -1
