n,s0
2309,-1
2310,-1
2311,-1
2312,144
2313,144
2314,144
2315,144
2316,144
2317,144
2318,144
2319,144
2320,145
2321,146
2322,147
2323,148
2324,149
2325,150
2326,151
2327,152
2328,153
2329,145
2330,145
2331,145
2332,145
2333,145
2334,145
2335,145
2336,146
2337,147
2338,148
2339,149
2340,150
2341,151
2342,152
2343,153
2344,154
2345,155
2346,146
2347,146
2348,146
2349,146
2350,146
2351,146
2352,147
2353,148
2354,149
2355,150
2356,151
2357,152
2358,153
2359,154
2360,155
2361,156
2362,157
2363,147
2364,147
2365,147
2366,147
2367,147
2368,148
2369,149
2370,150
2371,151
2372,152
2373,153
2374,154
2375,155
2376,156
2377,157
2378,158
2379,159
2380,148
2381,148
2382,148
2383,148
2384,149
2385,150
2386,151
2387,152
2388,153
2389,154
2390,155
2391,156
2392,157
2393,158
2394,159
2395,160
2396,161
2397,149
2398,149
2399,149
2400,150
2401,151
2402,152
2403,153
2404,154
2405,155
2406,156
2407,157
2408,158
2409,159
2410,160
2411,161
2412,162
2413,163
2414,150
2415,150
2416,151
2417,152
2418,153
2419,154
2420,155
2421,156
2422,157
2423,158
2424,159
2425,160
2426,161
2427,162
2428,163
2429,164
2430,165
2431,151
2432,152
2433,153
2434,154
2435,155
2436,156
2437,157
2438,158
2439,159
2440,160
2441,161
2442,162
2443,163
2444,164
2445,165
2446,166
2447,167
2448,153
2449,154
2450,155
2451,156
2452,157
2453,158
2454,159
2455,160
2456,161
2457,162
2458,163
2459,164
2460,165
2461,166
2462,167
2463,168
2464,170
2465,188
2466,189
2467,190
2468,191
2469,192
2470,193
2471,194
2472,195
2473,196
2474,197
2475,198
2476,199
2477,200
2478,-1
2479,-1
2480,-1
2481,-1
2482,-1
2483,-1
2484,-1
2485,-1
2486,-1
2487,-1
2488,-1
2489,-1
2490,-1
2491,-1
2492,-1
2493,-1
2494,-1
2495,-1
2496,-1
2497,-1
2498,-1
2499,-1
2500,-1
2501,-1
2502,-1
2503,-1
2504,-1
2505,-1
2506,-1
2507,-1
2508,-1
2509,-1
2510,-1
2511,-1
2512,-1
2513,-1
2514,-1
2515,-1
2516,-1
2517,-1
2518,-1
2519,-1
2520,-1
2521,-1
2522,-1
2523,-1
2524,-1
2525,-1
2526,-1
2527,-1
2528,-1
2529,-1
2530,-1
2531,-1
2532,-1
2533,-1
2534,-1
2535,-1
2536,-1
2537,-1
2538,-1
2539,-1
2540,-1
2541,-1
2542,-1
2543,-1
2544,-1
2545,-1
2546,-1
2547,-1
2548,-1
2549,-1
2550,-1
2551,-1
2552,-1
2553,-1
2554,-1
2555,-1
2556,-1
2557,-1
2558,-1
2559,-1
2560,-1
2561,-1
2562,-1
2563,-1
2564,-1
2565,-1
2566,-1
2567,-1
2568,-1
2569,-1
2570,-1
2571,-1
2572,-1
2573,-1
2574,-1
2575,-1
2576,-1
2577,-1
2578,-1
2579,-1
2580,-1
2581,-1
2582,-1
2583,-1
2584,-1
2585,-1
2586,-1
2587,-1
2588,-1
2589,-1
2590,-1
2591,-1
2592,-1
2593,-1
2594,-1
2595,-1
2596,-1
2597,-1
2598,-1
2599,-1
2600,-1
2601,162
2602,162
2603,162
2604,162
2605,162
2606,162
2607,162
2608,163
2609,164
2610,165
2611,166
2612,167
2613,168
2614,169
2615,170
2616,171
2617,172
2618,163
2619,163
2620,163
2621,163
2622,163
2623,163
2624,164
2625,165
2626,166
2627,167
2628,168
2629,169
2630,170
2631,171
2632,172
2633,173
2634,174
2635,164
2636,164
2637,164
2638,164
2639,164
2640,165
2641,166
2642,167
2643,168
2644,169
2645,170
2646,171
2647,172
2648,173
2649,174
2650,175
2651,176
2652,165
2653,165
2654,165
2655,165
2656,166
2657,167
2658,168
2659,169
2660,170
2661,171
2662,172
2663,173
2664,174
2665,175
2666,176
2667,177
2668,178
2669,166
2670,166
2671,166
2672,167
2673,168
2674,169
2675,170
2676,171
2677,172
2678,173
2679,174
2680,175
2681,176
2682,177
2683,178
2684,179
2685,180
2686,167
2687,167
2688,168
2689,169
2690,170
2691,171
2692,172
2693,173
2694,174
2695,175
2696,176
2697,177
2698,178
2699,179
2700,180
2701,181
2702,182
2703,168
2704,169
2705,170
2706,171
2707,172
2708,173
2709,174
2710,175
2711,176
2712,177
2713,178
2714,179
2715,180
2716,181
2717,182
2718,183
2719,184
2720,170
2721,171
2722,172
2723,173
2724,174
2725,175
2726,176
2727,177
2728,178
2729,179
2730,180
2731,181
2732,182
2733,183
2734,184
2735,185
2736,187
2737,-1
2738,-1
2739,-1
2740,-1
2741,-1
2742,-1
2743,-1
2744,-1
2745,-1
2746,-1
2747,-1
2748,-1
2749,-1
2750,-1
2751,-1
2752,-1
2753,-1
2754,-1
2755,-1
2756,-1
2757,-1
2758,-1
